MASCARA;IES
1757;1818
1758;755
1759;3488
1760;5518
1761;5599
1762;1679
1763;3163
1764;545
1765;2122
1766;1432
1767;472
1768;1881
1769;2974
1770;1652
1771;940
1772;3680
1773;404
1774;5317
1775;1334
1776;1192
1777;2141
1778;1641
1779;1933
1780;192
1781;4065
1782;1325
1783;5228
1784;1927
1785;3749
1786;430
1787;785
1788;3527
1789;2244
1790;1084
1791;2034
1792;4531
1793;1636
1794;466
1795;2558
1796;2469
1797;950
1798;5592
1799;1081
1800;1151
1801;2134
1802;4094
1803;5217
1804;18492
1805;513
1806;1817
1807;307
1808;778
1809;1078
1810;2774
1811;2821
1812;1895
1813;1677
1814;1745
1815;2069
1816;2058
1817;507
1818;1923
1819;3610
1820;4022
1821;639
1822;2027
1823;1204
1824;1221
1825;2197
1826;2569
1827;2271
1828;1772
1829;1620
1830;1505
1831;4045
1832;1335
1833;515
1834;916
1835;125
1836;109
1837;3448
1838;1734
1839;626
1840;1415
1841;598
1842;4
1843;5315
1844;3238
1845;4395
1846;3436
1847;631
1848;1281
1849;5439
1850;1515
1851;1995
1852;374
1853;
1854;4218
1855;3376
1856;4148
1857;1773
1858;1423
1859;294
1860;991
1861;651
1862;1601
1863;2241
1864;73
1865;448
1866;409
1867;572
1868;3226
1869;452
1870;1917
1871;4496
1872;5215
1873;5550
1874;2451
1875;4725
1876;1441
1877;165
1878;4173
1879;1850
1880;1313
1881;220
1882;2072
1883;1521
1884;
1885;1748
1886;671
1887;2036
1888;1374
1889;793
1890;1750
1891;3099
1892;1880
1893;1904
1894;1523
1895;5671
1896;2763
1897;1233
1898;5592
1899;1682
1900;2133
1901;1683
1902;2158
1903;1461
1904;1427
1905;453
1906;1857
1907;1289
1908;1898
1909;
1910;2150
1911;1618
1912;3303
1913;1435
1914;438
1915;
1916;3955
1917;591
1918;15452
1919;554
1920;71
1921;18440
1922;1927
1923;3007
1924;543
1925;1741
1926;2181
1927;3428
1928;4101
1929;192
1930;2146
1931;3189
1932;1162
1933;3538
1934;2456
1935;3525
1936;2552
1937;234
1938;483
1939;1915
1940;749
1941;2160
1942;1386
1943;5439
1944;3205
1945;1877
1946;1675
1947;588
1948;1187
1949;1862
1950;166
1951;1312
1952;5369
1953;753
1954;1239
1955;1554
1956;208
1957;1616
1958;665
1959;1514
1960;321
1961;3433
1962;2084
1963;652
1964;2811
1965;829
1966;5318
1967;4788
1968;423
1969;1867
1970;3171
1971;781
1972;1356
1973;1899
1974;1415
1975;14165
1976;3323
1977;2468
1978;5317
1979;688
1980;1800
1981;4037
1982;163
1983;1650
1984;1196
1985;1766
1986;5313
1987;338
1988;1909
1989;1894
1990;1834
1991;2328
1992;
1993;2835
1994;5387
1995;2639
1996;3190
1997;1200
1998;1276
1999;1087
2000;1685
2001;1578
2002;2885
2003;1414
2004;
2005;922
2006;31
2007;1122
2008;1201
2009;2009
2010;343
2011;385
2012;171
2013;3293
2014;3758
2015;944
2016;2317
2017;2625
2018;1450
2019;19943
2020;727
2021;3920
2022;344
2023;590
2024;4417
2025;2145
2026;886
2027;3993
2028;2184
2029;1711
2030;1426
2031;1130
2032;1657
2033;1844
2034;795
2035;1318
2036;2005
2037;57
2038;219
2039;2053
2040;1728
2041;728
2042;491
2043;3649
2044;723
2045;1042
2046;1301
2047;2356
2048;1642
2049;3692
2050;2460
2051;2676
2052;2461
2053;1900
2054;4789
2055;1883
2056;3432
2057;490
2058;3306
2059;5015
2060;3155
2061;2563
2062;1678
2063;3985
2064;3304
2065;3332
2066;4163
2067;81
2068;1060
2069;2206
2070;55
2071;1012
2072;828
2073;1075
2074;516
2075;3573
2076;3609
2077;19
2078;1113
2079;1873
2080;959
2081;2302
2082;3669
2083;1492
2084;724
2085;1804
2086;596
2087;1988
2088;1444
2089;1107
2090;1174
2091;1939
2092;1355
2093;2521
2094;1564
2095;3205
2096;19512
2097;345
2098;3643
2099;1457
2100;3333
2101;2784
2102;1710
2103;1295
2104;5242
2105;1701
2106;3160
2107;2075
2108;255
2109;692
2110;481
2111;2408
2112;2629
2113;3754
2114;1726
2115;1055
2116;3693
2117;
2118;3485
2119;2566
2120;3853
2121;21
2122;5315
2123;2304
2124;5285
2125;1304
2126;547
2127;5591
2128;614
2129;3590
2130;2787
2131;985
2132;708
2133;3380
2134;1181
2135;1253
2136;1542
2137;420
2138;1962
2139;682
2140;4098
2141;4531
2142;2189
2143;82
2144;492
2145;1030
2146;1789
2147;917
2148;1811
2149;915
2150;2828
2151;5285
2152;3242
2153;3930
2154;605
2155;298
2156;1918
2157;4495
2158;2128
2159;983
2160;699
2161;2023
2162;146
2163;2832
2164;2279
2165;1462
2166;716
2167;3631
2168;986
2169;3299
2170;1308
2171;3588
2172;1831
2173;876
2174;3430
2175;415
2176;1697
2177;2037
2178;33
2179;269
2180;2049
2181;1456
2182;1166
2183;2566
2184;5018
2185;3611
2186;1725
2187;3523
2188;1806
2189;976
2190;1813
2191;1245
2192;1622
2193;3996
2194;2486
2195;571
2196;1452
2197;2336
2198;1506
2199;5394
2200;2297
2201;3480
2202;2085
2203;5668
2204;1205
2205;2042
2206;1972
2207;14258
2208;594
2209;1337
2210;1021
2211;5036
2212;2771
2213;1525
2214;475
2215;2568
2216;1541
2217;4925
2218;793
2219;1385
2220;5051
2221;3483
2222;7
2223;3478
2224;579
2225;1630
2226;3164
2227;83
2228;193
2229;2398
2230;874
2231;1351
2232;1815
2233;18874
2234;3840
2235;1549
2236;5316
2237;3304
2238;2971
2239;367
2240;1956
2241;3279
2242;2763
2243;4097
2244;2741
2245;9
2246;3515
2247;67
2248;4428
2249;3678
2250;1992
2251;2227
2252;5544
2253;3469
2254;3000
2255;1509
2256;1516
2257;2183
2258;1496
2259;5439
2260;1998
2261;449
2262;1643
2263;4792
2264;1162
2265;3172
2266;2766
2267;3203
2268;361
2269;790
2270;4667
